Dataset,EDI,DTWI,DTWD,"MLSTM-FCNs","WEASEL+MUSE",NS,TapNet,ShapeNet,LSP,ShapeVVE,"Chosen/All Variables"
ArticularyWordRecognition,0.97,0.98,0.987,0.973,0.99,0.987,0.987,0.987,0.836,0.97,0.492
AtrialFibrillation,0.267,0.267,0.22,0.267,0.333,0.133,0.333,0.4,0.183,0.25,0.45
BasicMotions,0.676,1,0.975,0.95,1,1,1,1,0.931,1,0.443
CharacterTrajectories,0.964,0.969,0.989,0.985,0.99,0.994,0.997,0.98,0.95,0.95,0.333
Cricket,0.944,0.986,1,0.917,1,0.986,0.958,0.986,0.85,0.89,0.504
DuckDuckGeeze,0.275,0.55,0.6,0.675,0.575,0.675,0.575,0.725,0.26,0.375,0.526
EigenWorms,0.549,N/A,0.618,0.504,0.89,0.878,0.489,0.878,0.506,0.76,0.333
Epilepsy,0.666,0.978,0.964,0.761,1,0.957,0.971,0.987,0.94,0.93,0.305
ERing,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.744,0.917,0.5
EthanolConcentration,0.293,0.304,0.323,0.373,0.43,0.236,0.323,0.312,0.272,0.25,0.667
FaceDetection,0.519,N/A,0.529,0.545,0.545,0.528,0.556,0.602,0.53,0.552,0.535
FingerMovements,0.55,0.52,0.53,0.58,0.49,0.54,0.53,0.58,0.50,0.588,0.571
HandMovementDirection,0.278,0.306,0.231,0.365,0.365,0.27,0.378,0.338,0.241,0.41,0.501
Handwriting,0.2,0.316,0.286,0.286,0.605,0.533,0.357,0.451,0.258,0.43,0.45
Heartbeat,0.619,0.658,0.717,0.663,0.727,0.737,0.751,0.756,0.718,0.72,0.426
InsectWingbeat,0.128,N/A,N/A,0.167,N/A,0.16,0.208,0.25,0.1,0.1,0.49
JapaneseVowels,0.924,0.959,0.949,0.976,0.973,0.989,0.965,0.984,0.96,0.97,0.427
Libras,0.833,0.894,0.87,0.856,0.878,0.867,0.85,0.856,0.422,0.83,0.52
LSST,0.456,0.575,0.551,0.373,0.59,0.558,0.568,0.59,0.344,0.35,0.333
MotorImagery,0.51,N/A,0.5,0.51,0.5,0.54,0.59,0.61,0.493,0.55,0.5
NATOPS,0.85,0.85,0.883,0.889,0.87,0.944,0.939,0.883,0.843,0.92,0.585
PEMS-SF,0.705,0.734,0.711,0.699,N/A,0.688,0.751,0.751,0.22,0.152,0.5
PenDigits,0.973,0.939,0.977,0.978,0.948,0.983,0.98,0.977,0.804,0.80,0.5
Phoneme,0.104,0.151,0.151,0.11,0.19,0.246,0.175,0.298,0.084,0.158,0.545
RacketSports,0.868,0.842,0.803,0.803,0.934,0.862,0.868,0.882,0.81,0.612,0.647
SelfRegulationSCP1,0.771,0.765,0.775,0.874,0.71,0.846,0.652,0.782,0.658,0.628,0.348
SelfRegulationSCP2,0.483,0.533,0.539,0.472,0.46,0.556,0.55,0.578,0.496,0.53,0.571
SpokenArabicDigits,0.967,0.959,0.963,0.99,0.982,0.956,0.983,0.975,0.334,0.497,0.615
StandWalkJump,0.2,0.333,0.2,0.067,0.333,0.4,0.4,0.533,0.3,0.67,0.288
UWaveGestureLibrary,0.881,0.868,0.903,0.891,0.916,0.884,0.894,0.906,0.624,0.77,0.467
,,,,,,,,,,,
